// Initialization
02-20-01-1C | 6B-A7-24-43-17-4A-00-00-6F-0E-48-02-01-00-00-00-01-00-01-00-01-00-01-00-01-00-01-00
04-F0-01-3A EB-01 | 10-00-01-00-00-00-00-00-00-00-00-00-00-00-EB-00-AC-00-16-00-1B-00-1C-00-23-00-29-00-6B-00-00-00-00-00-00-00-00-00-01-01-00-00-00-00-06-01-02-03-04-06-07-05-01-04-05-06-0A-02
04-A0-01-BA-00 3A | 16-00-50-44-50-2E-58-62-6F-78-2E-47-75-69-74-61-72-2E-4A-61-67-75-61-72-27-00-57-69-6E-64-6F-77-73-2E-58-62-6F-78-2E-49-6E-70-75-74-2E-4E-61-76-69-67-61-74-69-6F-6E-43-6F-6E
04-A0-01-BA-00 74 | 74-72-6F-6C-6C-65-72-04-F6-6A-26-1A-46-3A-E3-45-B9-B6-0F-2C-0B-2C-1E-BE-FE-D2-DD-EC-87-D3-94-42-BD-96-1A-71-2E-3D-C7-7D-E7-1F-F3-B8-86-73-E9-40-A9-F8-2F-21-26-3A-CF-B7-56-FF
04-B0-01-3A AE-01 | 76-97-FD-9B-81-45-AD-45-B6-45-BB-A5-26-D6-02-17-00-20-20-00-01-00-14-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-17-00-21-05-00-01-00-0C-00-00-00-00-00-00-00-00-00-00-00-00
04-B0-01-03 E8-01 | 00-00-00
04-A0-01-00 EB-01

// Upper frets
20-00-01-1C | 10-00-00-00-00-01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Green
20-00-02-1C | 20-00-00-00-00-02-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Red
20-00-03-1C | 80-00-00-00-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Yellow
20-00-04-1C | 40-00-00-00-00-08-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Blue
20-00-05-1C | 00-10-00-00-00-10-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Orange

// Lower frets
20-00-01-1C | 10-40-00-00-00-00-01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Green
20-00-02-1C | 20-40-00-00-00-00-02-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Red
20-00-03-1C | 80-40-00-00-00-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Yellow
20-00-04-1C | 40-40-00-00-00-00-08-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Blue
20-00-05-1C | 00-50-00-00-00-00-10-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Orange

// D-pad/strum
20-00-01-1C | 00-01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Up
20-00-02-1C | 00-02-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Down
20-00-03-1C | 00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Left
20-00-04-1C | 00-08-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Right

// Menu buttons
20-00-01-1C | 04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // Menu
20-00-02-1C | 08-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00 // View

// Joystick click
20-00-03-1C | 00-40-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00

// Joystick X
20-00-01-1C | 00-00-00-00-00-00-00-00-00-00-00-80-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-02-1C | 00-00-00-00-00-00-00-00-00-00-11-91-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-03-1C | 00-00-00-00-00-00-00-00-00-00-22-A2-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-04-1C | 00-00-00-00-00-00-00-00-00-00-33-B3-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-05-1C | 00-00-00-00-00-00-00-00-00-00-44-C4-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-06-1C | 00-00-00-00-00-00-00-00-00-00-55-D5-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-07-1C | 00-00-00-00-00-00-00-00-00-00-66-E6-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-08-1C | 00-00-00-00-00-00-00-00-00-00-77-F7-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-09-1C | 00-00-00-00-00-00-00-00-00-00-88-08-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-0A-1C | 00-00-00-00-00-00-00-00-00-00-99-19-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-0B-1C | 00-00-00-00-00-00-00-00-00-00-AA-2A-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-0C-1C | 00-00-00-00-00-00-00-00-00-00-BB-3B-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-0D-1C | 00-00-00-00-00-00-00-00-00-00-CC-4C-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-0E-1C | 00-00-00-00-00-00-00-00-00-00-DD-5D-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-0F-1C | 00-00-00-00-00-00-00-00-00-00-EE-6E-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-10-1C | 00-00-00-00-00-00-00-00-00-00-FF-7F-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-11-1C | 00-00-00-00-00-00-00-00-00-00-EE-6E-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-12-1C | 00-00-00-00-00-00-00-00-00-00-DD-5D-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-13-1C | 00-00-00-00-00-00-00-00-00-00-CC-4C-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-14-1C | 00-00-00-00-00-00-00-00-00-00-BB-3B-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-15-1C | 00-00-00-00-00-00-00-00-00-00-AA-2A-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-16-1C | 00-00-00-00-00-00-00-00-00-00-99-19-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-17-1C | 00-00-00-00-00-00-00-00-00-00-88-08-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-18-1C | 00-00-00-00-00-00-00-00-00-00-77-F7-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-19-1C | 00-00-00-00-00-00-00-00-00-00-66-E6-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-1A-1C | 00-00-00-00-00-00-00-00-00-00-55-D5-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-1B-1C | 00-00-00-00-00-00-00-00-00-00-44-C4-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-1C-1C | 00-00-00-00-00-00-00-00-00-00-33-B3-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-1D-1C | 00-00-00-00-00-00-00-00-00-00-22-A2-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-1E-1C | 00-00-00-00-00-00-00-00-00-00-11-91-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-1F-1C | 00-00-00-00-00-00-00-00-00-00-00-80-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00

// Joystick Y
20-00-01-1C | 00-00-00-00-00-00-00-00-00-00-00-00-00-80-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-02-1C | 00-00-00-00-00-00-00-00-00-00-00-00-11-91-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-03-1C | 00-00-00-00-00-00-00-00-00-00-00-00-22-A2-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-04-1C | 00-00-00-00-00-00-00-00-00-00-00-00-33-B3-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-05-1C | 00-00-00-00-00-00-00-00-00-00-00-00-44-C4-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-06-1C | 00-00-00-00-00-00-00-00-00-00-00-00-55-D5-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-07-1C | 00-00-00-00-00-00-00-00-00-00-00-00-66-E6-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-08-1C | 00-00-00-00-00-00-00-00-00-00-00-00-77-F7-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-09-1C | 00-00-00-00-00-00-00-00-00-00-00-00-88-08-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-0A-1C | 00-00-00-00-00-00-00-00-00-00-00-00-99-19-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-0B-1C | 00-00-00-00-00-00-00-00-00-00-00-00-AA-2A-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-0C-1C | 00-00-00-00-00-00-00-00-00-00-00-00-BB-3B-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-0D-1C | 00-00-00-00-00-00-00-00-00-00-00-00-CC-4C-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-0E-1C | 00-00-00-00-00-00-00-00-00-00-00-00-DD-5D-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-0F-1C | 00-00-00-00-00-00-00-00-00-00-00-00-EE-6E-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-10-1C | 00-00-00-00-00-00-00-00-00-00-00-00-FF-7F-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-11-1C | 00-00-00-00-00-00-00-00-00-00-00-00-EE-6E-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-12-1C | 00-00-00-00-00-00-00-00-00-00-00-00-DD-5D-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-13-1C | 00-00-00-00-00-00-00-00-00-00-00-00-CC-4C-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-14-1C | 00-00-00-00-00-00-00-00-00-00-00-00-BB-3B-00-00-00-00-00-00-00-00-00-00-00-00-00-00
20-00-15-1C | 00-00-00-00-00-00-00-00-00-00-00-00-AA-2A-00-00-00-00-00-00-00-00-00-00-00-00-00-00
